Title,Author,Genre,Pages,Rating (Goodreads),Year
Atomic Habits,Džeims Klīrs,self-help,320,4.33,2018
Harry Potter and the Order of the Phoenix,J. K. Rowling,fantasy,870,4.5,2003
Anime: A History,Jonathan Clements,fim criticism,256,4.16,2013
The Little Book of Ikigai,Ken Mogi,self-help,112,3.58,2017
Lugu lendavate taldrikutega,Eno Raud,children's books,240,4.09,1969
Roosad inglid,Reeli Reinaus,young adult,211,3.45,2014
Verikambi,Reeli Reinaus,young adult,352,4.09,2016
Little Women,Louisa May Alcott,feminism,449,4.17,1868
The Yellow Wall-paper,Charlotte Perkins Gilman,feminism,62,4.07,1892
Crime and Punishment,Fyodor Dostoyevsky,philosophy,671,4.28,1866
Pride and Predjudice,Jane Austen,romance,400,4.29,1813
"A Silent Voice, Vol. 1",Yoshitoki Oima,manga,190,4.46,2013
Blue Period 1,Tsubasa Yamaguchi,manga,224,4.4,2017
Emma,Jane Austen,romance,474,4.05,1815
The Vegan Guide to Tokyo,Chiara Terzuolo,nonfiction,160,4.21,2023
Carrie,Stephen King,horror,272,3.99,1974
All the Bright Places,Jennifer Niven,young adult,388,4.11,2015
Elevant haihtub,Haruki Murakami,fantasy,327,3.82,1993
IT,Stephen King,horror,1184,4.24,1968
Joyland,Stephen King,horror,285,3.93,2013
The Queen's Gambit,Walter Tevis,historical,258,4.18,1983
Euphoria,Elin Cullhed,feminism,304,3.51,2021
Inter Ice Age 4,Kobo Abe,sci-fi,228,3.68,1959
Citizen: An American Lyric,Claudia Rankine,poetry,169,4.25,2014
The Tales of Beetle the Bard,J. K. Rowling,fantasy,105,4.03,2008

